Month,Monthly_Capital_Added,Monthly_Premium_Generated,Cumulative_Premium,New_Contracts,Monthly_Assignments,New_Shares,Cumulative_Shares,Effective_Cost_Per_Share,Share_Value_Current,Total_Cost_Basis,Call_Hedge_Value,Portfolio_Value,Monthly_ROI,Assignment_Rate
1,4000,971.28,5320.28,2,1,100,100,1.38,240.0,137.5,291.38,12534.88,8.0,55.0
2,4000,1478.91,6799.19,3,1,100,200,1.4,480.0,280.5,887.35,17519.23,9.0,60.0
3,4000,2087.61,8886.8,4,2,200,400,1.43,960.0,572.0,1878.85,23142.9,10.0,65.0
4,4000,2805.26,11692.06,6,4,400,800,1.46,1920.0,1166.0,3366.31,29622.65,11.0,70.0
5,4000,3641.27,15333.33,8,6,600,1400,1.49,3360.0,2079.0,5461.91,37086.82,12.0,75.0
6,4000,4606.72,19940.05,10,8,800,2200,1.51,5280.0,3327.5,8292.09,45680.89,13.0,80.0
