Strike,Quantity,Premium_Collected_Per_Share,Effective_Cost_Basis,Assignment_Probability,Expected_Shares,Current_Market_Value,Cost_Basis_Value,Immediate_Profit,Profit_Per_Share,Discount_To_Current,Expiration_Month
5.0,2,2.92,2.08,0.85,170,408.0,353.6,54.0,0.32,13.3,Nov-21
4.0,2,2.22,1.78,0.83,166,398.4,295.47999999999996,103.0,0.62,25.8,Nov-21
3.0,2,1.22,1.78,0.79,158,379.2,281.24,98.0,0.62,25.8,Oct-24
2.5,22,0.97,1.53,0.76,1667,4000.7999999999997,2550.51,1450.0,0.87,36.2,Oct-24
2.0,10,0.58,1.42,0.6,600,1440.0,852.0,588.0,0.98,40.8,Oct-24
